150.0,400.0,100.0
150.0,400.0,150.0
150.0,400.0,200.0
150.0,400.0,250.0
150.0,400.0,300.0
150.0,500.0,300.0
150.0,500.0,250.0
150.0,500.0,200.0
150.0,500.0,150.0
150.0,500.0,100.0
150.0,600.0,100.0
150.0,600.0,150.0
150.0,600.0,200.0
150.0,600.0,250.0
150.0,600.0,300.0
350.0,600.0,300.0
350.0,600.0,250.0
350.0,600.0,200.0
350.0,600.0,150.0
350.0,600.0,100.0
350.0,500.0,100.0
350.0,500.0,150.0
350.0,500.0,200.0
350.0,500.0,250.0
350.0,500.0,300.0
350.0,400.0,300.0
350.0,400.0,250.0
350.0,400.0,200.0
350.0,400.0,150.0
350.0,400.0,100.0
550.0,400.0,100.0
550.0,400.0,150.0
550.0,400.0,200.0
550.0,400.0,250.0
550.0,400.0,300.0
550.0,500.0,300.0
550.0,500.0,250.0
550.0,500.0,200.0
550.0,500.0,150.0
550.0,500.0,100.0
550.0,600.0,100.0
550.0,600.0,150.0
550.0,600.0,200.0
550.0,600.0,250.0
550.0,600.0,300.0
